state,district,pincode,demo_age_5_17,demo_age_17_,total
Andhra Pradesh,Srikakulam,532212,3,12,15
Andhra Pradesh,Srikakulam,532213,4,15,19
Andhra Pradesh,Srikakulam,532214,4,17,21
Andhra Pradesh,Srikakulam,532215,2,4,6
Andhra Pradesh,Srikakulam,532216,1,3,4
Andhra Pradesh,Srikakulam,532218,4,18,22
Andhra Pradesh,Srikakulam,532219,1,4,5
Andhra Pradesh,Srikakulam,532220,3,14,17
Andhra Pradesh,Srikakulam,532221,4,26,30
Andhra Pradesh,Srikakulam,532222,3,22,25
Andhra Pradesh,Srikakulam,532242,3,15,18
Andhra Pradesh,Srikakulam,532243,2,16,18
Andhra Pradesh,Srikakulam,532263,2,7,9
Andhra Pradesh,Srikakulam,532264,4,18,22
Andhra Pradesh,Srikakulam,532284,6,25,31
Andhra Pradesh,Srikakulam,532290,2,12,14
Andhra Pradesh,Srikakulam,532291,1,9,10
Andhra Pradesh,Srikakulam,532292,3,9,12
Andhra Pradesh,Srikakulam,532312,18,74,92
Andhra Pradesh,Srikakulam,532322,3,11,14
Andhra Pradesh,Srikakulam,532401,4,20,24
Andhra Pradesh,Srikakulam,532402,2,9,11
Andhra Pradesh,Srikakulam,532403,10,38,48
Andhra Pradesh,Srikakulam,532404,2,11,13
Andhra Pradesh,Srikakulam,532405,2,8,10
Andhra Pradesh,Srikakulam,532406,2,8,10
Andhra Pradesh,Srikakulam,532407,16,48,64
Andhra Pradesh,Srikakulam,532408,2,11,13
Andhra Pradesh,Srikakulam,532409,4,11,15
Andhra Pradesh,Srikakulam,532410,2,12,14
Andhra Pradesh,Srikakulam,532421,7,43,50
Andhra Pradesh,Srikakulam,532425,1,6,7
Andhra Pradesh,Srikakulam,532426,2,9,11
Andhra Pradesh,Srikakulam,532427,2,9,11
Andhra Pradesh,Srikakulam,532428,1,5,6
Andhra Pradesh,Srikakulam,532429,1,7,8
Andhra Pradesh,Srikakulam,532430,3,14,17
Andhra Pradesh,Srikakulam,532432,2,10,12
Andhra Pradesh,Srikakulam,532440,3,17,20
Andhra Pradesh,Srikakulam,532445,3,14,17
Andhra Pradesh,Srikakulam,532455,4,14,18
Andhra Pradesh,Srikakulam,532457,2,10,12
Andhra Pradesh,Srikakulam,532458,3,14,17
Andhra Pradesh,Srikakulam,532459,3,19,22
Andhra Pradesh,Srikakulam,532460,3,13,16
Andhra Pradesh,Srikakulam,532461,1,2,3
Andhra Pradesh,Srikakulam,532474,1,4,5
Andhra Pradesh,Srikakulam,532484,2,11,13
Andhra Pradesh,Tirupati,517101,1,3,4
Andhra Pradesh,Tirupati,517194,1,8,9
Andhra Pradesh,Tirupati,517501,18,108,126
Andhra Pradesh,Tirupati,517502,1,6,7
Andhra Pradesh,Tirupati,517503,1,8,9
Andhra Pradesh,Tirupati,517505,2,9,11
Andhra Pradesh,Tirupati,517507,5,24,29
Andhra Pradesh,Tirupati,517526,1,5,6
Andhra Pradesh,Tirupati,517536,1,2,3
Andhra Pradesh,Tirupati,517541,1,7,8
Andhra Pradesh,Tirupati,517551,2,7,9
Andhra Pradesh,Tirupati,517561,1,8,9
Andhra Pradesh,Tirupati,517588,1,9,10
Andhra Pradesh,Tirupati,517589,1,9,10
Andhra Pradesh,Tirupati,517641,1,4,5
Andhra Pradesh,Tirupati,517643,2,11,13
Andhra Pradesh,Tirupati,517646,0,1,1
Andhra Pradesh,Tirupati,524131,0,3,3
Andhra Pradesh,Tirupati,524132,1,16,17
Andhra Pradesh,Tirupati,524134,1,5,6
Andhra Pradesh,Tirupati,524401,1,3,4
Andhra Pradesh,Tirupati,524412,1,5,6
Andhra Pradesh,Tirupati,524415,0,3,3
Andhra Pradesh,Visakhapatnam,530001,7,60,67
Andhra Pradesh,Visakhapatnam,530002,2,12,14
Andhra Pradesh,Visakhapatnam,530003,1,6,7
Andhra Pradesh,Visakhapatnam,530004,2,15,17
Andhra Pradesh,Visakhapatnam,530005,0,3,3
Andhra Pradesh,Visakhapatnam,530007,2,10,12
Andhra Pradesh,Visakhapatnam,530008,3,20,23
Andhra Pradesh,Visakhapatnam,530009,1,6,7
Andhra Pradesh,Visakhapatnam,530011,2,20,22
Andhra Pradesh,Visakhapatnam,530012,4,32,36
Andhra Pradesh,Visakhapatnam,530013,3,30,33
Andhra Pradesh,Visakhapatnam,530014,0,1,1
Andhra Pradesh,Visakhapatnam,530015,0,1,1
Andhra Pradesh,Visakhapatnam,530016,4,33,37
Andhra Pradesh,Visakhapatnam,530017,9,63,72
Andhra Pradesh,Visakhapatnam,530018,1,8,9
Andhra Pradesh,Visakhapatnam,530020,1,5,6
Andhra Pradesh,Visakhapatnam,530022,1,7,8
Andhra Pradesh,Visakhapatnam,530024,1,4,5
Andhra Pradesh,Visakhapatnam,530026,14,86,100
Andhra Pradesh,Visakhapatnam,530027,5,40,45
Andhra Pradesh,Visakhapatnam,530028,1,7,8
Andhra Pradesh,Visakhapatnam,530029,1,7,8
Andhra Pradesh,Visakhapatnam,530031,1,4,5
Andhra Pradesh,Visakhapatnam,530032,0,3,3
Andhra Pradesh,Visakhapatnam,530035,0,1,1
Andhra Pradesh,Visakhapatnam,530040,4,32,36
Andhra Pradesh,Visakhapatnam,530041,3,21,24
Andhra Pradesh,Visakhapatnam,530043,1,3,4
Andhra Pradesh,Visakhapatnam,530044,8,52,60
Andhra Pradesh,Visakhapatnam,530045,1,11,12
Andhra Pradesh,Visakhapatnam,530047,2,13,15
Andhra Pradesh,Visakhapatnam,530048,6,40,46
Andhra Pradesh,Visakhapatnam,530049,0,3,3
Andhra Pradesh,Visakhapatnam,530051,2,12,14
Andhra Pradesh,Visakhapatnam,530052,1,8,9
Andhra Pradesh,Visakhapatnam,530053,1,4,5
Andhra Pradesh,Visakhapatnam,531002,1,5,6
Andhra Pradesh,Visakhapatnam,531011,1,7,8
Andhra Pradesh,Visakhapatnam,531019,1,5,6
Andhra Pradesh,Visakhapatnam,531020,0,2,2
Andhra Pradesh,Visakhapatnam,531021,1,5,6
Andhra Pradesh,Visakhapatnam,531027,1,10,11
Andhra Pradesh,Visakhapatnam,531030,1,10,11
Andhra Pradesh,Visakhapatnam,531032,1,6,7
Andhra Pradesh,Visakhapatnam,531034,1,5,6
Andhra Pradesh,Visakhapatnam,531055,3,19,22
Andhra Pradesh,Visakhapatnam,531060,1,4,5
Andhra Pradesh,Visakhapatnam,531061,1,7,8
Andhra Pradesh,Visakhapatnam,531075,1,8,9
Andhra Pradesh,Visakhapatnam,531084,1,7,8
Andhra Pradesh,Visakhapatnam,531085,1,5,6
Andhra Pradesh,Visakhapatnam,531105,0,2,2
Andhra Pradesh,Visakhapatnam,531113,1,10,11
Andhra Pradesh,Visakhapatnam,531116,2,16,18
Andhra Pradesh,Visakhapatnam,531117,1,6,7
Andhra Pradesh,Visakhapatnam,531118,0,2,2
Andhra Pradesh,Visakhapatnam,531133,1,9,10
Andhra Pradesh,Visakhapatnam,531149,2,12,14
Andhra Pradesh,Visakhapatnam,531162,4,22,26
Andhra Pradesh,Visakhapatnam,531163,6,36,42
Andhra Pradesh,Visakhapatnam,531173,4,28,32
Andhra Pradesh,Visakhapatnam,531219,2,13,15
Andhra Pradesh,Visakhapatnam,535005,1,5,6
Andhra Pradesh,Visakhapatnam,535145,3,15,18
Andhra Pradesh,Visakhapatnam,535183,2,12,14
Andhra Pradesh,Visakhapatnam,535250,2,9,11
Andhra Pradesh,Visakhapatnam,535273,1,4,5
Andhra Pradesh,Vizianagaram,532127,4,21,25
Andhra Pradesh,Vizianagaram,532148,2,7,9
Andhra Pradesh,Vizianagaram,535001,1,10,11
Andhra Pradesh,Vizianagaram,535002,13,84,97
Andhra Pradesh,Vizianagaram,535003,3,21,24
Andhra Pradesh,Vizianagaram,535004,2,11,13
Andhra Pradesh,Vizianagaram,535006,2,8,10
Andhra Pradesh,Vizianagaram,535101,3,17,20
Andhra Pradesh,Vizianagaram,535102,2,14,16
Andhra Pradesh,Vizianagaram,535124,2,6,8
Andhra Pradesh,Vizianagaram,535125,2,8,10
Andhra Pradesh,Vizianagaram,535126,2,8,10
Andhra Pradesh,Vizianagaram,535128,2,11,13
Andhra Pradesh,Vizianagaram,535148,1,4,5
Andhra Pradesh,Vizianagaram,535160,1,5,6
Andhra Pradesh,Vizianagaram,535161,2,10,12
Andhra Pradesh,Vizianagaram,535204,4,19,23
Andhra Pradesh,Vizianagaram,535213,1,7,8
Andhra Pradesh,Vizianagaram,535214,0,3,3
Andhra Pradesh,Vizianagaram,535215,2,9,11
Andhra Pradesh,Vizianagaram,535216,3,18,21
Andhra Pradesh,Vizianagaram,535217,3,17,20
Andhra Pradesh,Vizianagaram,535218,3,12,15
Andhra Pradesh,Vizianagaram,535220,1,6,7
Andhra Pradesh,Vizianagaram,535221,1,3,4
Andhra Pradesh,Vizianagaram,535240,1,9,10
Andhra Pradesh,Vizianagaram,535260,1,7,8
Andhra Pradesh,Vizianagaram,535270,2,10,12
Andhra Pradesh,Vizianagaram,535280,1,5,6
Andhra Pradesh,Vizianagaram,535281,1,7,8
Andhra Pradesh,Vizianagaram,535522,1,3,4
Andhra Pradesh,Vizianagaram,535525,1,5,6
Andhra Pradesh,Vizianagaram,535558,2,18,20
Andhra Pradesh,Vizianagaram,535568,1,5,6
Andhra Pradesh,Vizianagaram,535573,1,4,5
Andhra Pradesh,Vizianagaram,535578,1,7,8
Andhra Pradesh,Vizianagaram,535579,4,32,36
Andhra Pradesh,Vizianagaram,535580,2,9,11
Andhra Pradesh,Vizianagaram,535581,1,5,6
Andhra Pradesh,Warangal,506003,1,8,9
Andhra Pradesh,Warangal,506006,1,7,8
Andhra Pradesh,Warangal,506009,0,3,3
Andhra Pradesh,Warangal,506011,0,1,1
Andhra Pradesh,Warangal,506013,1,4,5
Andhra Pradesh,Warangal,506101,4,25,29
Andhra Pradesh,Warangal,506142,1,7,8
Andhra Pradesh,Warangal,506145,1,6,7
Andhra Pradesh,Warangal,506164,1,6,7
Andhra Pradesh,Warangal,506165,1,11,12
Andhra Pradesh,Warangal,506167,3,22,25
Andhra Pradesh,Warangal,506221,1,8,9
Andhra Pradesh,Warangal,506224,1,4,5
Andhra Pradesh,Warangal,506244,1,7,8
Andhra Pradesh,Warangal,506301,1,4,5
Andhra Pradesh,Warangal,506302,1,7,8
Andhra Pradesh,Warangal,506303,1,8,9
Andhra Pradesh,Warangal,506310,1,6,7
Andhra Pradesh,Warangal,506319,1,5,6
Andhra Pradesh,Warangal,506356,1,17,18
Andhra Pradesh,West Godavari,507135,0,3,3
Andhra Pradesh,West Godavari,521105,1,8,9
Andhra Pradesh,West Godavari,534002,1,10,11
Andhra Pradesh,West Godavari,534003,1,4,5
Andhra Pradesh,West Godavari,534005,1,6,7
Andhra Pradesh,West Godavari,534006,0,1,1
Andhra Pradesh,West Godavari,534007,1,5,6
Andhra Pradesh,West Godavari,534101,7,55,62
Andhra Pradesh,West Godavari,534102,2,14,16
Andhra Pradesh,West Godavari,534111,1,5,6
Andhra Pradesh,West Godavari,534122,1,6,7
Andhra Pradesh,West Godavari,534123,2,14,16
Andhra Pradesh,West Godavari,534124,1,6,7
Andhra Pradesh,West Godavari,534126,1,3,4
Andhra Pradesh,West Godavari,534134,3,24,27
Andhra Pradesh,West Godavari,534145,1,7,8
Andhra Pradesh,West Godavari,534146,1,9,10
Andhra Pradesh,West Godavari,534156,1,5,6
Andhra Pradesh,West Godavari,534165,0,2,2
Andhra Pradesh,West Godavari,534166,1,9,10
Andhra Pradesh,West Godavari,534176,0,3,3
Andhra Pradesh,West Godavari,534186,1,8,9
Andhra Pradesh,West Godavari,534195,0,2,2
Andhra Pradesh,West Godavari,534196,0,2,2
Andhra Pradesh,West Godavari,534198,1,8,9
Andhra Pradesh,West Godavari,534199,4,27,31
Andhra Pradesh,West Godavari,534201,6,43,49
Andhra Pradesh,West Godavari,534202,5,37,42
Andhra Pradesh,West Godavari,534204,1,6,7
Andhra Pradesh,West Godavari,534206,1,6,7
Andhra Pradesh,West Godavari,534207,1,7,8
Andhra Pradesh,West Godavari,534208,1,5,6
Andhra Pradesh,West Godavari,534209,1,3,4
Andhra Pradesh,West Godavari,534210,1,4,5
Andhra Pradesh,West Godavari,534211,4,27,31
Andhra Pradesh,West Godavari,534215,0,1,1
Andhra Pradesh,West Godavari,534217,1,13,14
Andhra Pradesh,West Godavari,534222,1,11,12
Andhra Pradesh,West Godavari,534225,0,3,3
Andhra Pradesh,West Godavari,534227,0,2,2
Andhra Pradesh,West Godavari,534230,0,3,3
Andhra Pradesh,West Godavari,534235,7,61,68
Andhra Pradesh,West Godavari,534236,0,3,3
Andhra Pradesh,West Godavari,534237,1,8,9
Andhra Pradesh,West Godavari,534238,0,2,2
Andhra Pradesh,West Godavari,534239,2,13,15
Andhra Pradesh,West Godavari,534240,1,3,4
Andhra Pradesh,West Godavari,534243,1,5,6
Andhra Pradesh,West Godavari,534244,1,4,5
Andhra Pradesh,West Godavari,534245,1,10,11
Andhra Pradesh,West Godavari,534247,1,4,5
Andhra Pradesh,West Godavari,534250,1,5,6
Andhra Pradesh,West Godavari,534260,11,72,83
Andhra Pradesh,West Godavari,534265,1,7,8
Andhra Pradesh,West Godavari,534266,2,16,18
Andhra Pradesh,West Godavari,534267,1,10,11
Andhra Pradesh,West Godavari,534268,1,7,8
Andhra Pradesh,West Godavari,534269,1,11,12
Andhra Pradesh,West Godavari,534275,8,62,70
Andhra Pradesh,West Godavari,534280,1,6,7
Andhra Pradesh,West Godavari,534281,2,16,18
Andhra Pradesh,West Godavari,534302,0,6,6
Andhra Pradesh,West Godavari,534305,1,6,7
Andhra Pradesh,West Godavari,534313,1,10,11
Andhra Pradesh,West Godavari,534318,0,4,4
Andhra Pradesh,West Godavari,534320,2,20,22
Andhra Pradesh,West Godavari,534324,0,3,3
Andhra Pradesh,West Godavari,534326,1,4,5
Andhra Pradesh,West Godavari,534327,0,2,2
Andhra Pradesh,West Godavari,534330,0,3,3
Andhra Pradesh,West Godavari,534331,0,2,2
Andhra Pradesh,West Godavari,534338,0,3,3
Andhra Pradesh,West Godavari,534340,1,6,7
Andhra Pradesh,West Godavari,534341,1,4,5
Andhra Pradesh,West Godavari,534401,0,3,3
Andhra Pradesh,West Godavari,534406,1,7,8
Andhra Pradesh,West Godavari,534411,1,5,6
Andhra Pradesh,West Godavari,534416,1,3,4
Andhra Pradesh,West Godavari,534427,0,3,3
Andhra Pradesh,West Godavari,534432,0,3,3
Andhra Pradesh,West Godavari,534442,0,2,2
Andhra Pradesh,West Godavari,534448,1,3,4
Andhra Pradesh,West Godavari,534449,1,5,6
Andhra Pradesh,West Godavari,534450,1,8,9
Andhra Pradesh,West Godavari,534451,1,8,9
Andhra Pradesh,West Godavari,534460,1,12,13
Andhra Pradesh,West Godavari,534462,1,8,9
Andhra Pradesh,West Godavari,534467,1,5,6
Andhra Pradesh,Y. S. R,516001,6,44,50
Andhra Pradesh,Y. S. R,516004,2,11,13
Andhra Pradesh,Y. S. R,516162,1,6,7
Andhra Pradesh,Y. S. R,516227,3,18,21
Andhra Pradesh,Y. S. R,516289,1,8,9
Andhra Pradesh,Y. S. R,516309,1,5,6
Andhra Pradesh,Y. S. R,516360,10,64,74
Andhra Pradesh,Y. S. R,516361,0,1,1
Andhra Pradesh,Y. S. R,516390,3,22,25
Andhra Pradesh,Y. S. R,516411,0,3,3
Andhra Pradesh,Y. S. R,516434,2,13,15
Andhra Pradesh,Y. S. R,516464,1,3,4
Andhra Pradesh,Y. S. R,516474,1,4,5
Andhra Pradesh,Y. S. R,516503,1,6,7
Arunachal Pradesh,Anjaw,792104,2,7,9
Arunachal Pradesh,Changlang,792055,0,1,1
Arunachal Pradesh,Changlang,792056,2,15,17
Arunachal Pradesh,Changlang,792120,1,6,7
Arunachal Pradesh,Changlang,792121,2,10,12
Arunachal Pradesh,Changlang,792122,2,10,12
Arunachal Pradesh,Changlang,792123,0,4,4
Arunachal Pradesh,Dibang Valley,792101,0,2,2
Arunachal Pradesh,East Kameng,790103,0,1,1
Arunachal Pradesh,East Siang,791102,2,11,13
Arunachal Pradesh,East Siang,791104,1,6,7
Arunachal Pradesh,Kamle,791130,1,5,6
Arunachal Pradesh,Kra Daadi,791118,2,4,6
Arunachal Pradesh,Lohit,792001,2,10,12
Arunachal Pradesh,Lohit,792111,0,2,2
Arunachal Pradesh,Longding,786631,0,2,2
Arunachal Pradesh,Longding,792131,2,11,13
Arunachal Pradesh,Lower Dibang Valley,792110,2,11,13
Arunachal Pradesh,Lower Siang,791125,1,4,5
Arunachal Pradesh,Lower Subansiri,791119,0,2,2
Arunachal Pradesh,Lower Subansiri,791120,2,14,16
Arunachal Pradesh,Namsai,792102,1,5,6
Arunachal Pradesh,Namsai,792103,1,10,11
Arunachal Pradesh,Namsai,792105,1,9,10
Arunachal Pradesh,Papum Pare,791109,1,2,3
Arunachal Pradesh,Papum Pare,791110,2,10,12
Arunachal Pradesh,Papum Pare,791111,2,10,12
Arunachal Pradesh,Papum Pare,791112,1,7,8
Arunachal Pradesh,Papum Pare,791113,1,8,9
Arunachal Pradesh,Papum Pare,791121,0,2,2
Arunachal Pradesh,Papum Pare,791123,1,7,8
Arunachal Pradesh,Shi-yomi,791003,1,2,3
Arunachal Pradesh,Tawang,790104,1,3,4
Arunachal Pradesh,Tawang,790105,1,4,5
Arunachal Pradesh,Tawang,790106,1,4,5
Arunachal Pradesh,Tirap,786629,0,1,1
Arunachal Pradesh,Tirap,786630,0,2,2
Arunachal Pradesh,Tirap,792129,0,2,2
Arunachal Pradesh,Tirap,792130,1,5,6
Arunachal Pradesh,Upper Siang,791002,2,7,9
Arunachal Pradesh,Upper Siang,791105,0,1,1
Arunachal Pradesh,Upper Siang,792061,1,7,8
Arunachal Pradesh,Upper Subansiri,791122,4,14,18
Arunachal Pradesh,West Kameng,790001,1,4,5
Arunachal Pradesh,West Kameng,790002,1,3,4
Arunachal Pradesh,West Kameng,790003,1,3,4
Arunachal Pradesh,West Kameng,790101,2,4,6
Arunachal Pradesh,West Kameng,790102,2,9,11
Arunachal Pradesh,West Kameng,790114,0,2,2
Arunachal Pradesh,West Kameng,790116,0,3,3
Arunachal Pradesh,West Siang,791001,2,12,14
Arunachal Pradesh,West Siang,791101,1,6,7
Arunachal Pradesh,West Siang,792051,0,1,1
Assam,Bajali,781325,1,9,10
Assam,Bajali,781326,0,2,2
Assam,Baksa,781313,1,17,18
Assam,Baksa,781318,1,9,10
Assam,Baksa,781327,1,13,14
Assam,Baksa,781328,0,4,4
Assam,Baksa,781329,0,2,2
Assam,Baksa,781330,0,3,3
Assam,Baksa,781333,1,5,6
Assam,Baksa,781340,0,4,4
Assam,Baksa,781343,1,5,6
Assam,Baksa,781344,1,9,10
Assam,Baksa,781346,0,6,6
Assam,Baksa,781367,1,9,10
Assam,Baksa,781368,1,8,9
Assam,Baksa,781372,2,18,20
Assam,Baksa,781373,0,4,4
Assam,Baksa,781377,1,7,8
Assam,Barpeta,781301,0,6,6
Assam,Barpeta,781302,2,19,21
Assam,Barpeta,781305,3,25,28
Assam,Barpeta,781307,1,13,14
Assam,Barpeta,781308,11,86,97
Assam,Barpeta,781309,5,46,51
Assam,Barpeta,781312,1,12,13
Assam,Barpeta,781314,5,49,54
Assam,Barpeta,781315,2,24,26
Assam,Barpeta,781316,3,35,38
Assam,Barpeta,781317,1,19,20
Assam,Barpeta,781319,6,66,72
Assam,Barpeta,781321,3,31,34
Assam,Barpeta,781352,2,28,30
Assam,Barpeta,781355,0,2,2
Assam,Barpeta,781375,0,6,6
Assam,Biswanath,784167,0,4,4
Assam,Biswanath,784168,1,16,17
Assam,Biswanath,784169,1,6,7
Assam,Biswanath,784172,0,5,5
Assam,Biswanath,784173,0,3,3
Assam,Biswanath,784174,0,7,7
Assam,Biswanath,784178,0,4,4
Assam,Biswanath,784180,0,5,5
Assam,Biswanath,784184,0,2,2
Assam,Biswanath,784189,0,1,1
Assam,Bongaigaon,783371,1,14,15
Assam,Bongaigaon,783372,1,10,11
Assam,Bongaigaon,783382,2,14,16
Assam,Bongaigaon,783383,2,23,25
Assam,Bongaigaon,783384,13,130,143
Assam,Bongaigaon,783388,6,43,49
Assam,Bongaigaon,783389,0,4,4
Assam,Bongaigaon,783391,1,10,11
Assam,Bongaigaon,783392,1,11,12
Assam,Cachar,788001,1,9,10
Assam,Cachar,788002,1,9,10
Assam,Cachar,788003,1,12,13
Assam,Cachar,788004,0,2,2
Assam,Cachar,788005,1,20,21
Assam,Cachar,788006,1,11,12
Assam,Cachar,788007,1,7,8
Assam,Cachar,788008,0,1,1
Assam,Cachar,788009,1,13,14
Assam,Cachar,788010,0,3,3
Assam,Cachar,788011,1,5,6
Assam,Cachar,788013,2,11,13
Assam,Cachar,788014,0,2,2
Assam,Cachar,788015,0,4,4
Assam,Cachar,788025,1,14,15
Assam,Cachar,788026,1,11,12
Assam,Cachar,788030,2,27,29
Assam,Cachar,788031,1,7,8
Assam,Cachar,788098,1,16,17
Assam,Cachar,788099,2,23,25
Assam,Cachar,788101,4,36,40
Assam,Cachar,788103,1,5,6
Assam,Cachar,788104,2,23,25
Assam,Cachar,788106,1,9,10
Assam,Cachar,788107,1,17,18
Assam,Cachar,788108,0,6,6
Assam,Cachar,788109,0,3,3
Assam,Cachar,788110,1,11,12
Assam,Cachar,788111,0,7,7
Assam,Cachar,788112,0,5,5
Assam,Cachar,788113,1,13,14
Assam,Cachar,788114,1,12,13
Assam,Cachar,788115,1,6,7
Assam,Cachar,788116,1,15,16
Assam,Cachar,788117,1,10,11
Assam,Cachar,788118,1,5,6
Assam,Cachar,788119,2,22,24
Assam,Cachar,788120,2,21,23
Assam,Cachar,788121,1,4,5
Assam,Cachar,788123,0,5,5
Assam,Cachar,788126,2,20,22
Assam,Cachar,788127,0,3,3
Assam,Cachar,788801,1,10,11
Assam,Cachar,788802,0,3,3
Assam,Cachar,788804,1,6,7
Assam,Cachar,788805,2,12,14
Assam,Cachar,788806,1,12,13
Assam,Cachar,788815,5,34,39
Assam,Cachar,788816,1,12,13
Assam,Cachar,788817,2,20,22
Assam,Charaideo,785673,0,3,3
Assam,Charaideo,785686,1,6,7
Assam,Charaideo,785688,0,2,2
Assam,Charaideo,785689,1,8,9
Assam,Charaideo,785690,1,13,14
Assam,Charaideo,785691,1,7,8
Assam,Charaideo,785693,0,7,7
Assam,Charaideo,785698,0,2,2
Assam,Chirang,783373,1,10,11
Assam,Chirang,783375,1,10,11
Assam,Chirang,783380,3,47,50
Assam,Chirang,783381,0,4,4
Assam,Chirang,783385,1,8,9
Assam,Chirang,783390,2,20,22
Assam,Chirang,783393,2,18,20
Assam,Chirang,783394,1,6,7
Assam,Darrang,784115,4,33,37
Assam,Darrang,784116,3,25,28
Assam,Darrang,784125,5,31,36
Assam,Darrang,784144,1,8,9
Assam,Darrang,784145,4,31,35
Assam,Darrang,784146,4,25,29
Assam,Darrang,784147,0,4,4
Assam,Darrang,784148,1,9,10
Assam,Darrang,784190,1,10,11
Assam,Darrang,784529,0,4,4
Assam,Dhemaji,786110,2,16,18
Assam,Dhemaji,787026,1,6,7
Assam,Dhemaji,787034,1,17,18
Assam,Dhemaji,787035,0,7,7
Assam,Dhemaji,787053,0,10,10
Assam,Dhemaji,787056,0,5,5
Assam,Dhemaji,787057,2,25,27
Assam,Dhemaji,787058,1,14,15
Assam,Dhemaji,787059,6,55,61
Assam,Dhemaji,787060,4,39,43
Assam,Dhemaji,787061,1,21,22
Assam,Dhemaji,787110,0,1,1
Assam,Dhubri,783127,1,17,18
Assam,Dhubri,783128,2,18,20
Assam,Dhubri,783301,1,10,11
Assam,Dhubri,783323,2,25,27
Assam,Dhubri,783324,4,43,47
Assam,Dhubri,783325,2,21,23
Assam,Dhubri,783330,5,52,57
Assam,Dhubri,783331,5,49,54
Assam,Dhubri,783332,1,9,10
Assam,Dhubri,783334,12,96,108
Assam,Dhubri,783335,3,32,35
Assam,Dhubri,783339,4,43,47
Assam,Dhubri,783345,2,17,19
Assam,Dhubri,783348,14,115,129
Assam,Dhubri,783349,6,50,56
Assam,Dhubri,783376,1,7,8
Assam,Dibrugarh,785670,1,7,8
Assam,Dibrugarh,785675,2,21,23
Assam,Dibrugarh,785676,1,8,9
Assam,Dibrugarh,786001,2,25,27
Assam,Dibrugarh,786002,0,2,2
Assam,Dibrugarh,786003,1,12,13
Assam,Dibrugarh,786004,1,6,7
Assam,Dibrugarh,786005,0,3,3
Assam,Dibrugarh,786006,0,1,1
Assam,Dibrugarh,786007,1,10,11
Assam,Dibrugarh,786008,0,2,2
Assam,Dibrugarh,786010,1,18,19
Assam,Dibrugarh,786012,0,4,4
Assam,Dibrugarh,786101,1,15,16
Assam,Dibrugarh,786102,0,1,1
Assam,Dibrugarh,786103,0,8,8
Assam,Dibrugarh,786184,2,19,21
Assam,Dibrugarh,786189,0,3,3
Assam,Dibrugarh,786191,1,14,15
Assam,Dibrugarh,786602,1,17,18
Assam,Dibrugarh,786610,1,19,20
Assam,Dibrugarh,786611,0,8,8
Assam,Dibrugarh,786612,1,11,12
Assam,Dibrugarh,786613,1,13,14
Assam,Dibrugarh,786614,0,6,6
Assam,Dibrugarh,786621,0,8,8
Assam,Dibrugarh,786622,0,2,2
Assam,Dibrugarh,786623,0,4,4
Assam,Dibrugarh,786624,0,1,1
Assam,Dibrugarh,786692,0,2,2
Assam,Dima Hasao,788832,1,4,5
Assam,Dima Hasao,788931,1,7,8
Assam,Goalpara,783101,8,66,74
Assam,Goalpara,783120,5,44,49
Assam,Goalpara,783121,1,11,12
Assam,Goalpara,783122,1,3,4
Assam,Goalpara,783123,1,6,7
Assam,Goalpara,783124,1,12,13
Assam,Goalpara,783125,3,28,31
Assam,Goalpara,783126,4,33,37
Assam,Goalpara,783129,14,105,119
Assam,Goalpara,783130,2,16,18
Assam,Goalpara,783132,3,23,26
Assam,Goalpara,783133,0,1,1
Assam,Golaghat,785601,4,49,53
Assam,Golaghat,785602,1,17,18
Assam,Golaghat,785603,1,13,14
Assam,Golaghat,785609,0,4,4
Assam,Golaghat,785610,0,4,4
Assam,Golaghat,785611,1,14,15
Assam,Golaghat,785612,2,19,21
Assam,Golaghat,785613,1,11,12
Assam,Golaghat,785615,1,6,7
Assam,Golaghat,785618,1,9,10
Assam,Golaghat,785619,1,20,21
Assam,Golaghat,785621,1,17,18
Assam,Golaghat,785622,1,12,13
Assam,Golaghat,785625,1,11,12
Assam,Golaghat,785626,0,3,3
Assam,Golaghat,785699,0,3,3
Assam,Golaghat,785702,2,26,28
Assam,Golaghat,785705,2,28,30
Assam,Hailakandi,788102,0,5,5
Assam,Hailakandi,788150,1,10,11
Assam,Hailakandi,788151,0,5,5
Assam,Hailakandi,788155,3,23,26
Assam,Hailakandi,788160,1,5,6
Assam,Hailakandi,788161,3,29,32
Assam,Hailakandi,788162,4,24,28
Assam,Hailakandi,788163,2,24,26
Assam,Hailakandi,788164,1,13,14
Assam,Hailakandi,788165,2,13,15
Assam,Hailakandi,788168,0,3,3
Assam,Hojai,782429,0,6,6
Assam,Hojai,782435,1,19,20
Assam,Hojai,782439,1,14,15
Assam,Hojai,782440,2,22,24
Assam,Hojai,782442,1,14,15
Assam,Hojai,782447,1,8,9
Assam,Jorhat,785001,2,20,22
Assam,Jorhat,785002,0,1,1
Assam,Jorhat,785004,0,2,2
Assam,Jorhat,785005,0,1,1
Assam,Jorhat,785006,1,9,10
Assam,Jorhat,785007,0,2,2
Assam,Jorhat,785008,0,4,4
Assam,Jorhat,785009,0,1,1
Assam,Jorhat,785010,0,4,4
Assam,Jorhat,785013,0,1,1
Assam,Jorhat,785014,0,2,2
Assam,Jorhat,785015,0,3,3
Assam,Jorhat,785101,1,8,9
Assam,Jorhat,785102,0,2,2
