state,district,pincode,bio_age_5_17,bio_age_17_,total
Gujarat,Botad,382250,4,7,11
Gujarat,Botad,382255,5,10,15
Gujarat,Chhotaudepur,391125,9,13,22
Gujarat,Chhotaudepur,391145,8,8,16
Gujarat,Chhotaudepur,391152,8,20,28
Gujarat,Chhotaudepur,391155,7,10,17
Gujarat,Chhotaudepur,391156,3,5,8
Gujarat,Chhotaudepur,391160,34,56,90
Gujarat,Chhotaudepur,391165,33,60,93
Gujarat,Chhotaudepur,391170,16,32,48
Gujarat,Chhotaudepur,391175,4,7,11
Gujarat,Chhotaudepur,391761,6,7,13
Gujarat,Dahod,389130,19,20,39
Gujarat,Dahod,389146,12,10,22
Gujarat,Dahod,389151,69,82,151
Gujarat,Dahod,389155,33,31,64
Gujarat,Dahod,389160,1,2,3
Gujarat,Dahod,389170,40,51,91
Gujarat,Dahod,389172,16,16,32
Gujarat,Dahod,389175,22,22,44
Gujarat,Dahod,389382,35,46,81
Gujarat,Devbhumi Dwarka,360515,7,9,16
Gujarat,Devbhumi Dwarka,360590,8,11,19
Gujarat,Devbhumi Dwarka,361305,23,22,45
Gujarat,Devbhumi Dwarka,361310,12,12,24
Gujarat,Devbhumi Dwarka,361347,8,4,12
Gujarat,Dohad,389140,20,26,46
Gujarat,Dohad,389152,24,25,49
Gujarat,Dohad,389154,29,30,59
Gujarat,Dohad,389180,43,48,91
Gujarat,Gandhinagar,382006,9,11,20
Gujarat,Gandhinagar,382007,13,17,30
Gujarat,Gandhinagar,382010,0,1,1
Gujarat,Gandhinagar,382016,13,16,29
Gujarat,Gandhinagar,382021,5,7,12
Gujarat,Gandhinagar,382024,6,8,14
Gujarat,Gandhinagar,382028,9,11,20
Gujarat,Gandhinagar,382030,3,4,7
Gujarat,Gandhinagar,382041,3,3,6
Gujarat,Gandhinagar,382042,3,3,6
Gujarat,Gandhinagar,382045,1,0,1
Gujarat,Gandhinagar,382115,6,8,14
Gujarat,Gandhinagar,382305,32,36,68
Gujarat,Gandhinagar,382308,26,30,56
Gujarat,Gandhinagar,382315,17,20,37
Gujarat,Gandhinagar,382320,6,7,13
Gujarat,Gandhinagar,382321,10,11,21
Gujarat,Gandhinagar,382330,25,36,61
Gujarat,Gandhinagar,382355,28,29,57
Gujarat,Gandhinagar,382421,14,18,32
Gujarat,Gandhinagar,382422,8,11,19
Gujarat,Gandhinagar,382423,4,4,8
Gujarat,Gandhinagar,382426,0,1,1
Gujarat,Gandhinagar,382428,4,5,9
Gujarat,Gandhinagar,382501,0,1,1
Gujarat,Gandhinagar,382610,11,15,26
Gujarat,Gandhinagar,382620,5,6,11
Gujarat,Gandhinagar,382630,4,5,9
Gujarat,Gandhinagar,382640,7,8,15
Gujarat,Gandhinagar,382650,4,6,10
Gujarat,Gandhinagar,382721,50,57,107
Gujarat,Gandhinagar,382725,0,0,0
Gujarat,Gandhinagar,382729,6,7,13
Gujarat,Gandhinagar,382735,15,22,37
Gujarat,Gandhinagar,382740,6,6,12
Gujarat,Gandhinagar,382810,13,15,28
Gujarat,Gandhinagar,382835,8,17,25
Gujarat,Gandhinagar,382845,34,48,82
Gujarat,Gandhinagar,382855,9,17,26
Gujarat,Gir Somnath,362135,2,2,4
Gujarat,Gir Somnath,362140,5,4,9
Gujarat,Gir Somnath,362265,23,23,46
Gujarat,Gir Somnath,362269,3,3,6
Gujarat,Gir Somnath,362510,11,14,25
Gujarat,Gir Somnath,362550,7,10,17
Gujarat,Gir Somnath,362560,26,29,55
Gujarat,Gir Somnath,362710,5,8,13
Gujarat,Gir Somnath,362725,7,9,16
Gujarat,Jamnagar,360520,10,10,20
Gujarat,Jamnagar,360530,13,11,24
Gujarat,Jamnagar,360531,6,6,12
Gujarat,Jamnagar,360540,6,5,11
Gujarat,Jamnagar,361001,52,38,90
Gujarat,Jamnagar,361002,19,14,33
Gujarat,Jamnagar,361003,1,1,2
Gujarat,Jamnagar,361004,18,15,33
Gujarat,Jamnagar,361005,39,30,69
Gujarat,Jamnagar,361006,44,35,79
Gujarat,Jamnagar,361007,15,10,25
Gujarat,Jamnagar,361008,26,19,45
Gujarat,Jamnagar,361009,13,10,23
Gujarat,Jamnagar,361010,7,6,13
Gujarat,Jamnagar,361011,3,3,6
Gujarat,Jamnagar,361012,15,14,29
Gujarat,Jamnagar,361013,7,5,12
Gujarat,Jamnagar,361110,8,7,15
Gujarat,Jamnagar,361120,16,12,28
Gujarat,Jamnagar,361130,8,9,17
Gujarat,Jamnagar,361140,14,11,25
Gujarat,Jamnagar,361141,1,0,1
Gujarat,Jamnagar,361142,4,2,6
Gujarat,Jamnagar,361150,1,0,1
Gujarat,Jamnagar,361160,23,14,37
Gujarat,Jamnagar,361162,10,7,17
Gujarat,Jamnagar,361170,19,17,36
Gujarat,Jamnagar,361210,22,19,41
Gujarat,Jamnagar,361220,6,8,14
Gujarat,Jamnagar,361230,3,3,6
Gujarat,Jamnagar,361240,3,3,6
Gujarat,Jamnagar,361250,6,6,12
Gujarat,Jamnagar,361280,15,11,26
Gujarat,Jamnagar,361306,8,7,15
Gujarat,Jamnagar,361315,19,14,33
Gujarat,Jamnagar,361320,7,7,14
Gujarat,Jamnagar,361325,8,7,15
Gujarat,Jamnagar,361330,3,2,5
Gujarat,Jamnagar,361335,21,15,36
Gujarat,Jamnagar,361345,6,4,10
Gujarat,Jamnagar,361350,6,4,10
Gujarat,Jamnagar,363655,5,3,8
Gujarat,Junagadh,362001,55,102,157
Gujarat,Junagadh,362002,8,13,21
Gujarat,Junagadh,362004,1,2,3
Gujarat,Junagadh,362011,3,8,11
Gujarat,Junagadh,362015,7,14,21
Gujarat,Junagadh,362020,11,15,26
Gujarat,Junagadh,362030,7,9,16
Gujarat,Junagadh,362037,9,15,24
Gujarat,Junagadh,362110,6,8,14
Gujarat,Junagadh,362120,5,9,14
Gujarat,Junagadh,362130,14,26,40
Gujarat,Junagadh,362150,17,19,36
Gujarat,Junagadh,362205,4,9,13
Gujarat,Junagadh,362215,6,11,17
Gujarat,Junagadh,362220,26,33,59
Gujarat,Junagadh,362222,4,7,11
Gujarat,Junagadh,362225,28,45,73
Gujarat,Junagadh,362226,3,4,7
Gujarat,Junagadh,362227,5,6,11
Gujarat,Junagadh,362229,4,6,10
Gujarat,Junagadh,362235,7,9,16
Gujarat,Junagadh,362240,10,17,27
Gujarat,Junagadh,362245,19,31,50
Gujarat,Junagadh,362250,14,20,34
Gujarat,Junagadh,362255,10,14,24
Gujarat,Junagadh,362260,11,18,29
Gujarat,Junagadh,362263,8,17,25
Gujarat,Junagadh,362266,6,8,14
Gujarat,Junagadh,362268,27,34,61
Gujarat,Junagadh,362275,13,15,28
Gujarat,Junagadh,362310,4,5,9
Gujarat,Junagadh,362315,2,3,5
Gujarat,Junagadh,362530,9,9,18
Gujarat,Junagadh,362565,4,5,9
Gujarat,Junagadh,362610,9,20,29
Gujarat,Junagadh,362620,7,14,21
Gujarat,Junagadh,362625,4,6,10
Gujarat,Junagadh,362630,14,22,36
Gujarat,Junagadh,362640,3,6,9
Gujarat,Junagadh,362715,0,1,1
Gujarat,Junagadh,362720,27,38,65
Gujarat,Junagadh,365440,13,12,25
Gujarat,Kachchh,370001,101,85,186
Gujarat,Kachchh,370015,2,2,4
Gujarat,Kachchh,370020,32,27,59
Gujarat,Kachchh,370030,20,15,35
Gujarat,Kachchh,370040,12,11,23
Gujarat,Kachchh,370105,25,23,48
Gujarat,Kachchh,370110,55,45,100
Gujarat,Kachchh,370130,9,9,18
Gujarat,Kachchh,370135,7,7,14
Gujarat,Kachchh,370140,36,28,64
Gujarat,Kachchh,370145,18,16,34
Gujarat,Kachchh,370150,17,12,29
Gujarat,Kachchh,370155,27,24,51
Gujarat,Kachchh,370160,8,7,15
Gujarat,Kachchh,370165,42,44,86
Gujarat,Kachchh,370201,53,40,93
Gujarat,Kachchh,370203,1,0,1
Gujarat,Kachchh,370205,32,27,59
Gujarat,Kachchh,370210,4,4,8
Gujarat,Kachchh,370230,1,0,1
Gujarat,Kachchh,370240,18,16,34
Gujarat,Kachchh,370405,8,6,14
Gujarat,Kachchh,370410,10,9,19
Gujarat,Kachchh,370415,6,3,9
Gujarat,Kachchh,370421,16,11,27
Gujarat,Kachchh,370425,4,4,8
Gujarat,Kachchh,370427,5,6,11
Gujarat,Kachchh,370430,8,9,17
Gujarat,Kachchh,370435,11,8,19
Gujarat,Kachchh,370445,14,9,23
Gujarat,Kachchh,370450,9,7,16
Gujarat,Kachchh,370455,6,5,11
Gujarat,Kachchh,370460,5,5,10
Gujarat,Kachchh,370465,32,26,58
Gujarat,Kachchh,370475,6,6,12
Gujarat,Kachchh,370485,7,7,14
Gujarat,Kachchh,370490,9,9,18
Gujarat,Kachchh,370510,48,33,81
Gujarat,Kachchh,370511,4,3,7
Gujarat,Kachchh,370601,3,5,8
Gujarat,Kachchh,370602,1,1,2
Gujarat,Kachchh,370605,15,11,26
Gujarat,Kachchh,370610,6,4,10
Gujarat,Kachchh,370615,9,8,17
Gujarat,Kachchh,370620,8,6,14
Gujarat,Kachchh,370625,11,11,22
Gujarat,Kachchh,370627,10,12,22
Gujarat,Kachchh,370630,2,3,5
Gujarat,Kachchh,370640,4,4,8
Gujarat,Kachchh,370645,11,9,20
Gujarat,Kachchh,370650,7,7,14
Gujarat,Kachchh,370655,20,17,37
Gujarat,Kachchh,370660,6,5,11
Gujarat,Kachchh,370665,10,6,16
Gujarat,Kachchh,370670,6,5,11
Gujarat,Kachchh,370675,9,7,16
Gujarat,Kheda,387001,32,44,76
Gujarat,Kheda,387002,23,29,52
Gujarat,Kheda,387110,7,8,15
Gujarat,Kheda,387115,8,7,15
Gujarat,Kheda,387120,11,11,22
Gujarat,Kheda,387130,49,62,111
Gujarat,Kheda,387210,5,7,12
Gujarat,Kheda,387230,4,4,8
Gujarat,Kheda,387240,9,14,23
Gujarat,Kheda,387305,6,10,16
Gujarat,Kheda,387315,15,17,32
Gujarat,Kheda,387320,10,12,22
Gujarat,Kheda,387325,6,6,12
Gujarat,Kheda,387330,17,20,37
Gujarat,Kheda,387335,27,35,62
Gujarat,Kheda,387340,5,9,14
Gujarat,Kheda,387350,6,8,14
Gujarat,Kheda,387355,9,14,23
Gujarat,Kheda,387360,7,8,15
Gujarat,Kheda,387365,11,19,30
Gujarat,Kheda,387370,7,10,17
Gujarat,Kheda,387380,5,6,11
Gujarat,Kheda,387411,7,6,13
Gujarat,Kheda,387430,22,30,52
Gujarat,Kheda,387510,7,7,14
Gujarat,Kheda,387520,5,5,10
Gujarat,Kheda,387530,14,12,26
Gujarat,Kheda,387540,6,6,12
Gujarat,Kheda,387550,4,5,9
Gujarat,Kheda,387560,7,7,14
Gujarat,Kheda,387570,11,10,21
Gujarat,Kheda,387610,13,18,31
Gujarat,Kheda,387620,41,56,97
Gujarat,Kheda,387630,33,50,83
Gujarat,Kheda,387635,11,20,31
Gujarat,Kheda,387640,12,17,29
Gujarat,Kheda,387650,9,12,21
Gujarat,Kheda,387710,5,6,11
Gujarat,Kheda,388180,15,19,34
Gujarat,Kheda,388215,3,5,8
Gujarat,Kheda,388225,18,31,49
Gujarat,Kheda,388230,20,29,49
Gujarat,Kheda,388235,19,22,41
Gujarat,Kheda,388239,1,1,2
Gujarat,Kheda,388245,13,16,29
Gujarat,Kheda,388250,30,44,74
Gujarat,Kheda,388255,14,21,35
Gujarat,Mahesana,382165,13,14,27
Gujarat,Mahesana,382705,18,24,42
Gujarat,Mahesana,382710,8,10,18
Gujarat,Mahesana,382715,37,43,80
Gujarat,Mahesana,382730,8,8,16
Gujarat,Mahesana,382732,13,17,30
Gujarat,Mahesana,382815,3,5,8
Gujarat,Mahesana,382820,6,6,12
Gujarat,Mahesana,382825,4,4,8
Gujarat,Mahesana,382830,8,9,17
Gujarat,Mahesana,382840,5,8,13
Gujarat,Mahesana,382850,6,6,12
Gujarat,Mahesana,382860,4,7,11
Gujarat,Mahesana,382865,8,9,17
Gujarat,Mahesana,382870,26,27,53
Gujarat,Mahesana,384001,50,69,119
Gujarat,Mahesana,384002,26,34,60
Gujarat,Mahesana,384003,2,2,4
Gujarat,Mahesana,384120,10,16,26
Gujarat,Mahesana,384130,5,7,12
Gujarat,Mahesana,384140,3,3,6
Gujarat,Mahesana,384160,4,5,9
Gujarat,Mahesana,384170,27,38,65
Gujarat,Mahesana,384205,11,15,26
Gujarat,Mahesana,384210,14,15,29
Gujarat,Mahesana,384212,9,11,20
Gujarat,Mahesana,384215,4,4,8
Gujarat,Mahesana,384260,2,3,5
Gujarat,Mahesana,384305,5,8,13
Gujarat,Mahesana,384310,6,7,13
Gujarat,Mahesana,384315,41,50,91
Gujarat,Mahesana,384320,3,4,7
Gujarat,Mahesana,384325,26,40,66
Gujarat,Mahesana,384330,13,22,35
Gujarat,Mahesana,384335,13,16,29
Gujarat,Mahesana,384340,5,9,14
Gujarat,Mahesana,384345,6,10,16
Gujarat,Mahesana,384350,7,16,23
Gujarat,Mahesana,384355,26,40,66
Gujarat,Mahesana,384360,2,5,7
Gujarat,Mahesana,384410,8,11,19
Gujarat,Mahesana,384415,0,0,0
Gujarat,Mahesana,384421,11,17,28
Gujarat,Mahesana,384430,4,7,11
Gujarat,Mahesana,384435,8,9,17
Gujarat,Mahesana,384440,0,1,1
Gujarat,Mahisagar,388260,12,15,27
Gujarat,Mahisagar,388265,7,10,17
Gujarat,Mahisagar,388270,7,10,17
Gujarat,Mahisagar,389232,7,9,16
Gujarat,Mahisagar,389235,4,8,12
Gujarat,Mahisagar,389240,15,19,34
Gujarat,Mahisagar,389250,3,3,6
Gujarat,Mahisagar,389260,16,19,35
Gujarat,Mahisagar,389265,7,12,19
Gujarat,Morbi,363351,4,4,8
Gujarat,Morbi,363642,15,17,32
Gujarat,Morbi,363660,5,7,12
Gujarat,Narmada,391120,6,8,14
Gujarat,Narmada,391121,7,10,17
Gujarat,Narmada,393025,15,26,41
Gujarat,Narmada,393040,41,56,97
Gujarat,Narmada,393041,17,30,47
Gujarat,Narmada,393050,18,29,47
Gujarat,Narmada,393130,16,19,35
Gujarat,Narmada,393140,9,13,22
Gujarat,Narmada,393145,27,46,73
Gujarat,Narmada,393150,3,5,8
Gujarat,Narmada,393151,18,32,50
Gujarat,Narmada,393155,7,10,17
Gujarat,Navsari,396040,15,10,25
Gujarat,Navsari,396051,17,19,36
Gujarat,Navsari,396060,16,9,25
Gujarat,Navsari,396110,3,2,5
Gujarat,Navsari,396310,10,13,23
Gujarat,Navsari,396321,19,18,37
Gujarat,Navsari,396325,6,7,13
Gujarat,Navsari,396350,4,4,8
Gujarat,Navsari,396360,7,6,13
Gujarat,Navsari,396370,1,1,2
Gujarat,Navsari,396380,3,4,7
Gujarat,Navsari,396403,1,1,2
Gujarat,Navsari,396406,3,2,5
Gujarat,Navsari,396409,5,4,9
Gujarat,Navsari,396412,2,2,4
Gujarat,Navsari,396415,4,5,9
Gujarat,Navsari,396418,3,3,6
Gujarat,Navsari,396421,6,4,10
Gujarat,Navsari,396424,5,5,10
Gujarat,Navsari,396427,4,4,8
Gujarat,Navsari,396430,6,5,11
Gujarat,Navsari,396433,5,4,9
Gujarat,Navsari,396436,15,16,31
Gujarat,Navsari,396439,1,1,2
Gujarat,Navsari,396440,1,1,2
Gujarat,Navsari,396445,47,45,92
Gujarat,Navsari,396450,16,16,32
Gujarat,Navsari,396460,3,4,7
Gujarat,Navsari,396463,4,5,9
Gujarat,Navsari,396466,3,3,6
Gujarat,Navsari,396469,4,2,6
Gujarat,Navsari,396472,3,3,6
Gujarat,Navsari,396475,6,5,11
Gujarat,Navsari,396521,19,15,34
Gujarat,Navsari,396530,5,3,8
Gujarat,Navsari,396540,9,7,16
Gujarat,Navsari,396560,13,8,21
Gujarat,Navsari,396570,4,2,6
Gujarat,Navsari,396580,33,30,63
Gujarat,Navsari,396590,11,6,17
Gujarat,Panchmahals,388710,7,13,20
Gujarat,Panchmahals,388713,7,14,21
Gujarat,Panchmahals,389001,47,69,116
Gujarat,Panchmahals,389110,18,20,38
Gujarat,Panchmahals,389115,32,44,76
Gujarat,Panchmahals,389120,23,37,60
Gujarat,Panchmahals,389190,16,18,34
Gujarat,Panchmahals,389210,30,69,99
Gujarat,Panchmahals,389220,10,21,31
Gujarat,Panchmahals,389230,25,37,62
Gujarat,Panchmahals,389310,10,10,20
Gujarat,Panchmahals,389320,15,20,35
Gujarat,Panchmahals,389330,12,13,25
Gujarat,Panchmahals,389340,18,20,38
Gujarat,Panchmahals,389341,17,21,38
Gujarat,Panchmahals,389350,29,28,57
Gujarat,Panchmahals,389360,12,15,27
Gujarat,Panchmahals,389365,22,27,49
Gujarat,Panchmahals,389370,10,11,21
Gujarat,Panchmahals,389380,26,24,50
Gujarat,Panchmahals,389390,10,17,27
Gujarat,Patan,384110,6,8,14
Gujarat,Patan,384151,37,44,81
Gujarat,Patan,384220,11,14,25
Gujarat,Patan,384221,7,7,14
Gujarat,Patan,384225,9,12,21
Gujarat,Patan,384229,4,4,8
Gujarat,Patan,384230,6,7,13
Gujarat,Patan,384240,25,33,58
Gujarat,Patan,384241,12,19,31
Gujarat,Patan,384245,36,35,71
Gujarat,Patan,384246,9,12,21
Gujarat,Patan,384255,8,10,18
Gujarat,Patan,384265,71,74,145
Gujarat,Patan,384272,8,11,19
Gujarat,Patan,384275,11,13,24
Gujarat,Patan,384285,30,39,69
Gujarat,Patan,384290,12,16,28
Gujarat,Patan,385340,65,52,117
Gujarat,Patan,385350,17,23,40
Gujarat,Patan,385360,33,33,66
Gujarat,Porbandar,360510,13,11,24
Gujarat,Porbandar,360545,10,12,22
Gujarat,Porbandar,360550,17,24,41
Gujarat,Porbandar,360560,7,8,15
Gujarat,Porbandar,360570,14,18,32
Gujarat,Porbandar,360575,60,52,112
Gujarat,Porbandar,360576,8,11,19
Gujarat,Porbandar,360577,3,3,6
Gujarat,Porbandar,360578,0,2,2
Gujarat,Porbandar,360579,11,13,24
Gujarat,Porbandar,362230,9,17,26
Gujarat,Porbandar,362650,15,14,29
Gujarat,Rajkot,360001,45,51,96
Gujarat,Rajkot,360002,83,79,162
Gujarat,Rajkot,360003,93,109,202
Gujarat,Rajkot,360004,87,70,157
Gujarat,Rajkot,360005,59,52,111
Gujarat,Rajkot,360006,20,19,39
Gujarat,Rajkot,360007,44,41,85
Gujarat,Rajkot,360020,7,8,15
Gujarat,Rajkot,360021,7,4,11
Gujarat,Rajkot,360022,17,16,33
Gujarat,Rajkot,360023,9,6,15
Gujarat,Rajkot,360024,15,13,28
Gujarat,Rajkot,360025,19,22,41
Gujarat,Rajkot,360030,12,12,24
Gujarat,Rajkot,360035,4,3,7
Gujarat,Rajkot,360040,8,7,15
Gujarat,Rajkot,360050,31,29,60
Gujarat,Rajkot,360055,26,23,49
Gujarat,Rajkot,360060,7,8,15
Gujarat,Rajkot,360070,5,4,9
Gujarat,Rajkot,360110,16,12,28
Gujarat,Rajkot,360311,68,69,137
Gujarat,Rajkot,360320,2,4,6
Gujarat,Rajkot,360330,8,8,16
Gujarat,Rajkot,360360,9,9,18
Gujarat,Rajkot,360370,57,54,111
Gujarat,Rajkot,360375,3,3,6
Gujarat,Rajkot,360380,5,4,9
Gujarat,Rajkot,360405,9,9,18
Gujarat,Rajkot,360410,35,36,71
Gujarat,Rajkot,360421,4,4,8
Gujarat,Rajkot,360430,3,2,5
Gujarat,Rajkot,360440,5,6,11
Gujarat,Rajkot,360450,9,8,17
Gujarat,Rajkot,360452,3,4,7
Gujarat,Rajkot,360460,4,3,7
Gujarat,Rajkot,360470,4,4,8
Gujarat,Rajkot,360480,4,4,8
Gujarat,Rajkot,360490,15,14,29
Gujarat,Rajkot,363621,37,53,90
Gujarat,Rajkot,363630,5,5,10
Gujarat,Rajkot,363641,46,45,91
Gujarat,Rajkot,363650,12,12,24
Gujarat,Rajkot,363670,12,13,25
Gujarat,Rajkot,364465,4,5,9
Gujarat,Rajkot,364470,4,6,10
Gujarat,Rajkot,364485,5,5,10
Gujarat,Rajkot,364490,5,6,11
Gujarat,Sabarkantha,383001,34,39,73
Gujarat,Sabarkantha,383006,0,0,0
Gujarat,Sabarkantha,383010,8,10,18
Gujarat,Sabarkantha,383030,9,13,22
Gujarat,Sabarkantha,383110,8,9,17
Gujarat,Sabarkantha,383120,7,12,19
Gujarat,Sabarkantha,383205,25,32,57
Gujarat,Sabarkantha,383210,8,10,18
Gujarat,Sabarkantha,383215,15,19,34
Gujarat,Sabarkantha,383220,13,15,28
Gujarat,Sabarkantha,383225,5,6,11
Gujarat,Sabarkantha,383230,9,10,19
Gujarat,Sabarkantha,383235,17,20,37
Gujarat,Sabarkantha,383240,3,5,8
Gujarat,Sabarkantha,383250,7,6,13
Gujarat,Sabarkantha,383251,9,9,18
Gujarat,Sabarkantha,383255,22,23,45
Gujarat,Sabarkantha,383270,37,43,80
Gujarat,Sabarkantha,383275,8,9,17
Gujarat,Sabarkantha,383276,6,9,15
Gujarat,Sabarkantha,383305,19,19,38
Gujarat,Sabarkantha,383310,9,10,19
Gujarat,Sabarkantha,383315,16,20,36
Gujarat,Sabarkantha,383325,10,16,26
Gujarat,Sabarkantha,383330,6,7,13
Gujarat,Sabarkantha,383335,7,10,17
Gujarat,Sabarkantha,383340,6,9,15
Gujarat,Sabarkantha,383350,20,18,38
Gujarat,Sabarkantha,383410,9,10,19
Gujarat,Sabarkantha,383421,5,6,11
Gujarat,Sabarkantha,383422,46,39,85
Gujarat,Sabarkantha,383430,16,18,34
Gujarat,Sabarkantha,383434,8,9,17
Gujarat,Sabarkantha,383440,8,8,16
Gujarat,Sabarkantha,383460,17,23,40
Gujarat,Sabarkantha,383462,10,11,21
Gujarat,Surat,394101,44,37,81
Gujarat,Surat,394105,15,13,28
Gujarat,Surat,394107,57,57,114
Gujarat,Surat,394110,27,24,51
Gujarat,Surat,394111,1,1,2
Gujarat,Surat,394120,12,9,21
Gujarat,Surat,394125,4,3,7
Gujarat,Surat,394130,17,17,34
Gujarat,Surat,394140,8,7,15
Gujarat,Surat,394150,12,13,25
Gujarat,Surat,394155,3,3,6
Gujarat,Surat,394160,22,19,41
Gujarat,Surat,394163,11,14,25
Gujarat,Surat,394170,8,8,16
Gujarat,Surat,394180,18,18,36
Gujarat,Surat,394185,12,11,23
Gujarat,Surat,394190,10,9,19
Gujarat,Surat,394210,189,193,382
Gujarat,Surat,394220,3,5,8
Gujarat,Surat,394221,50,51,101
Gujarat,Surat,394230,27,46,73
Gujarat,Surat,394235,8,10,18
Gujarat,Surat,394240,5,4,9
Gujarat,Surat,394245,4,3,7
Gujarat,Surat,394246,2,2,4
Gujarat,Surat,394248,6,6,12
Gujarat,Surat,394250,5,4,9
Gujarat,Surat,394270,2,2,4
Gujarat,Surat,394305,12,15,27
Gujarat,Surat,394310,9,12,21
Gujarat,Surat,394315,5,6,11
Gujarat,Surat,394317,4,4,8
Gujarat,Surat,394320,5,9,14
Gujarat,Surat,394325,6,7,13
Gujarat,Surat,394326,9,8,17
Gujarat,Surat,394327,9,12,21
Gujarat,Surat,394330,4,8,12
Gujarat,Surat,394335,9,8,17
Gujarat,Surat,394340,5,6,11
Gujarat,Surat,394345,2,1,3
Gujarat,Surat,394350,7,7,14
Gujarat,Surat,394352,2,2,4
Gujarat,Surat,394355,7,7,14
Gujarat,Surat,394360,3,3,6
Gujarat,Surat,394405,8,5,13
Gujarat,Surat,394410,4,4,8
Gujarat,Surat,394421,5,5,10
Gujarat,Surat,394430,9,10,19
Gujarat,Surat,394440,17,20,37
Gujarat,Surat,394445,21,26,47
Gujarat,Surat,394510,18,18,36
Gujarat,Surat,394515,1,1,2
Gujarat,Surat,394516,1,0,1
Gujarat,Surat,394517,3,2,5
Gujarat,Surat,394518,1,0,1
Gujarat,Surat,394520,10,10,20
Gujarat,Surat,394530,4,3,7
Gujarat,Surat,394540,23,15,38
Gujarat,Surat,394550,5,6,11
Gujarat,Surat,394601,26,22,48
Gujarat,Surat,394620,5,2,7
Gujarat,Surat,395001,22,31,53
Gujarat,Surat,395002,36,46,82
Gujarat,Surat,395003,59,76,135
Gujarat,Surat,395004,136,128,264
Gujarat,Surat,395005,43,39,82
Gujarat,Surat,395006,128,119,247
Gujarat,Surat,395007,53,65,118
Gujarat,Surat,395008,34,26,60
Gujarat,Surat,395009,67,68,135
Gujarat,Surat,395010,179,179,358
Gujarat,Surat,395013,0,1,1
Gujarat,Surat,395017,26,34,60
Gujarat,Surat,395023,21,23,44
Gujarat,Surat,395345,2,3,5
Gujarat,Surat,395620,3,5,8
Gujarat,Surat,396510,5,3,8
Gujarat,Surendra Nagar,363001,24,22,46
Gujarat,Surendra Nagar,363002,9,6,15
Gujarat,Surendra Nagar,363020,20,18,38
Gujarat,Surendra Nagar,363030,19,15,34
Gujarat,Surendra Nagar,363035,5,4,9
Gujarat,Surendra Nagar,363040,12,14,26
Gujarat,Surendra Nagar,363110,4,4,8
Gujarat,Surendra Nagar,363115,10,10,20
Gujarat,Surendra Nagar,363310,47,59,106
Gujarat,Surendra Nagar,363320,5,4,9
Gujarat,Surendra Nagar,363330,26,28,54
Gujarat,Surendra Nagar,363410,23,27,50
Gujarat,Surendra Nagar,363415,7,8,15
Gujarat,Surendra Nagar,363421,17,17,34
Gujarat,Surendra Nagar,363423,5,6,11
Gujarat,Surendra Nagar,363425,5,5,10
Gujarat,Surendra Nagar,363427,10,15,25
Gujarat,Surendra Nagar,363430,13,15,28
Gujarat,Surendra Nagar,363435,6,5,11
Gujarat,Surendra Nagar,363440,21,26,47
Gujarat,Surendra Nagar,363510,16,18,34
Gujarat,Surendra Nagar,363520,51,55,106
Gujarat,Surendra Nagar,363530,33,46,79
Gujarat,Surendra Nagar,363610,5,9,14
Gujarat,Surendra Nagar,363775,0,1,1
Gujarat,Surendra Nagar,382130,8,8,16
Gujarat,Surendra Nagar,382745,11,10,21
Gujarat,Surendra Nagar,382750,16,19,35
Gujarat,Surendra Nagar,382755,5,6,11
Gujarat,Surendra Nagar,382760,10,6,16
Gujarat,Surendra Nagar,382765,19,15,34
Gujarat,Surendra Nagar,382775,16,21,37
Gujarat,Surendra Nagar,382780,7,7,14
Gujarat,Tapi,394365,19,18,37
Gujarat,Tapi,394370,19,36,55
Gujarat,Tapi,394375,17,22,39
Gujarat,Tapi,394380,15,37,52
Gujarat,Tapi,394630,8,15,23
Gujarat,Tapi,394633,5,9,14
Gujarat,Tapi,394635,10,16,26
Gujarat,Tapi,394640,8,8,16
Gujarat,Tapi,394641,2,2,4
Gujarat,Tapi,394650,16,18,34
Gujarat,Tapi,394651,6,8,14
Gujarat,Tapi,394655,8,14,22
Gujarat,Tapi,394660,1,0,1
Gujarat,Tapi,394670,21,18,39
Gujarat,Tapi,394680,5,6,11
Gujarat,Tapi,394690,6,8,14
Gujarat,Tapi,394730,16,20,36
Gujarat,The Dangs,394710,69,84,153
Gujarat,The Dangs,394715,18,24,42
Gujarat,The Dangs,394716,21,22,43
Gujarat,The Dangs,394720,5,5,10
Gujarat,Vadodara,390001,29,42,71
Gujarat,Vadodara,390002,17,32,49
Gujarat,Vadodara,390003,1,2,3
Gujarat,Vadodara,390004,17,30,47
Gujarat,Vadodara,390006,27,49,76
Gujarat,Vadodara,390007,14,27,41
Gujarat,Vadodara,390008,7,12,19
Gujarat,Vadodara,390009,18,29,47
Gujarat,Vadodara,390010,15,24,39
Gujarat,Vadodara,390011,24,38,62
Gujarat,Vadodara,390012,24,36,60
Gujarat,Vadodara,390013,7,14,21
Gujarat,Vadodara,390014,8,14,22
Gujarat,Vadodara,390016,21,26,47
Gujarat,Vadodara,390017,15,23,38
Gujarat,Vadodara,390018,11,21,32
Gujarat,Vadodara,390019,61,108,169
Gujarat,Vadodara,390020,17,32,49
Gujarat,Vadodara,390021,21,32,53
